zipcode,CD116FP,area,area_prop,DEM,REP,total
81039,04,668330405.3828125,0.4366875266960469,556.7765965374598,1528.406343436164,2259.8579506520427
81137,03,544199023.5454712,1.0,1760.0,6085.0,7845.0
81040,03,1342237118.5721436,1.0,2026.0,0.0,2026.0
81041,04,1191180117.8173828,1.0,541.0,0.0,541.0
81043,04,3733640.4240722656,1.0,,,
81044,04,859903740.1777344,1.0,,,
81045,04,594107151.7121582,1.0,,,
81047,04,1554270498.444336,1.0,,,
81049,04,3329032332.1572266,1.0,,,
81050,04,1405104131.9973145,1.0,3144.0,2734.0,5878.0
81052,04,1727509989.5761719,1.0,9952.0,694.0,10646.0
81054,04,2521237667.5507812,1.0,1995.0,491.0,2486.0
81055,03,666247540.5216064,0.9999993713307433,8266.994802791256,0.0,8266.994802791256
81055,04,418.849609375,6.286692566687893e-07,0.005197208744880882,0.0,0.005197208744880882
80918,05,31003668.822021484,1.0,34737.0,42895.0,77972.0
80919,05,37068166.54650879,1.0,47695.0,50576.0,98271.0
80920,05,32715700.778564453,1.0,35215.0,44567.0,79782.0
80921,05,227163538.91455078,1.0,34872.0,55440.0,90312.0
80922,05,15472231.017822266,1.0,14197.0,5537.0,19734.0
80923,05,17648466.041015625,1.0,13340.0,9278.0,22618.0
80924,05,14090291.658447266,1.0,10828.0,6912.0,17740.0
80925,05,60962400.125,1.0,685.0,2218.0,2903.0
80926,05,167412665.03271484,1.0,2478.0,4041.0,6519.0
80927,05,11208187.917480469,1.0,1500.0,678.0,2178.0
80928,03,42.4580078125,4.988912206998051e-08,3.741684155248538e-06,4.899111787272086e-05,5.27328020279694e-05
80928,05,851047361.2814941,0.9999999501108779,74.99999625831585,981.9999510088821,1056.999947267198
80929,05,56140542.93432617,1.0,0.0,490.0,490.0
80930,05,94143760.43725586,1.0,100.0,63.0,163.0
80861,04,649956059.6416016,1.0,0.0,2000.0,2000.0
80862,04,357205932.6166992,1.0,,,
80863,05,322147605.01745605,0.9999992909067279,17907.987301557685,10854.99230279253,28762.979604350214
80863,04,228.432861328125,7.09093272121461e-07,0.012698442317151124,0.007697207468878459,0.020395649786029584
80864,03,7.122802734375,1.1064411583936433e-08,0.0,8.298308687952325e-06,8.298308687952325e-06
80864,05,643757925.7336426,0.9999999882578814,0.0,749.999991193411,749.999991193411
80864,04,0.436279296875,6.777070608567063e-10,0.0,5.082802956425297e-07,5.082802956425297e-07
80902,05,37190419.302978516,1.0,176.0,500.0,676.0
80903,05,12527376.748779297,1.0,39109.0,16730.0,55839.0
80904,05,24836605.208862305,1.0,64779.0,17633.0,82412.0
80905,05,12838374.922607422,1.0,27904.0,4238.0,32142.0
80906,05,121069550.61010742,1.0,78695.0,51373.0,130103.0
80907,05,25632237.591918945,1.0,42515.0,6569.0,49084.0
80908,05,246979794.14672852,0.999996483354415,23699.916655499637,41840.85286003208,65540.76951553172
80908,04,868.54345703125,3.5166455850058094e-06,0.08334450036463768,0.14713996792222808,0.23048446828686575
80909,05,21687407.97607422,1.0,27521.0,6236.0,35482.0
