zip,BDY,DEM,GRE,IND,LIB,REP,total,d_share
80227,0.0,70206.0,0.0,0.0,0.0,31009.0,101215.0,0.6936323667440597
80228,220.0,120742.0,0.0,0.0,100.0,36246.0,157308.0,0.767551554911384
80229,0.0,19238.0,51.0,93.0,0.0,1540.0,20922.0,0.9195105630436861
80230,0.0,77929.0,0.0,0.0,0.0,3892.0,81821.0,0.952432749538627
80231,0.0,105175.0,75.0,0.0,1000.0,15506.0,121756.0,0.8638177995334932
80232,0.0,41800.0,0.0,0.0,0.0,2201.0,44001.0,0.9499784095816004
80233,0.0,18221.0,0.0,0.0,0.0,5655.0,23876.0,0.7631512816217122
80234,0.0,33798.0,0.0,0.0,0.0,7020.0,40818.0,0.8280170513008966
80235,0.0,11903.0,0.0,0.0,0.0,15387.0,27290.0,0.43616709417369
80236,0.0,13344.0,0.0,0.0,250.0,1738.0,15332.0,0.8703365510044352
80237,0.0,98391.0,0.0,0.0,500.0,13824.0,112715.0,0.8729184225701991
80238,0.0,160609.0,0.0,0.0,0.0,2716.0,163325.0,0.9833705801316394
80239,0.0,7354.0,0.0,0.0,0.0,4387.0,11741.0,0.6263520994804531
80241,0.0,28960.0,0.0,0.0,0.0,8411.0,37371.0,0.7749324342404539
80246,0.0,109056.0,0.0,0.0,0.0,2368.0,111424.0,0.9787478460654796
80247,0.0,57444.0,0.0,0.0,0.0,4474.0,61918.0,0.9277431441584031
80248,0.0,2800.0,0.0,0.0,0.0,0.0,2800.0,1.0
80249,0.0,26867.0,0.0,0.0,0.0,0.0,26867.0,1.0
80250,0.0,9309.0,0.0,0.0,0.0,1100.0,10409.0,0.8943222211547699
80260,0.0,10060.0,0.0,0.0,0.0,2515.0,12575.0,0.8
80264,0.0,5792.0,0.0,0.0,0.0,250.0,6042.0,0.9586229725256538
80265,0.0,2051.0,0.0,0.0,0.0,0.0,2051.0,1.0
80290,0.0,2800.0,0.0,0.0,0.0,0.0,2800.0,1.0
80293,0.0,2800.0,0.0,0.0,0.0,0.0,2800.0,1.0
80301,680.0,265635.0,0.0,0.0,0.0,14522.0,280837.0,0.9458689560136306
80302,0.0,578551.0,0.0,0.0,0.0,33172.0,611723.0,0.9457728416292995
80303,0.0,228330.0,0.0,0.0,250.0,15668.0,244248.0,0.9348285349317088
80304,0.0,544435.0,0.0,0.0,0.0,19132.0,563567.0,0.9660519512320629
80305,0.0,221628.0,0.0,0.0,0.0,6991.0,228619.0,0.9694207393086314
80306,0.0,34714.0,0.0,0.0,0.0,0.0,34714.0,1.0
80307,0.0,3850.0,0.0,0.0,0.0,0.0,3850.0,1.0
80308,0.0,7467.0,0.0,0.0,0.0,847.0,8314.0,0.8981236468607169
80309,0.0,1088.0,0.0,0.0,0.0,0.0,1088.0,1.0
80310,0.0,606.0,0.0,0.0,0.0,0.0,606.0,1.0
